Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,0.427611484,1.099572389,-1.466096518,7.33048259,12.33964569,11.42333537,17.89859499,20.70861332,22.29688454,-17.28772144,-19.18142944,-8.552229688,-0.24434942,1.343921808,5.070250458,19.60904093,30.91020159,40.92852779,62.61453879,70.12828345,29.62736714,38.11850947,58.3995113,70.73915699,77.6420281,92.24190593,69.21197312,80.14660965,107.8802688,68.54001222,86.43860721,87.23274282,97.37324374
Australia,AUS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,0.727839566,1.944674399,3.352966361,5.280032609,8.994920283,12.58820729,16.08088659,23.18816992,25.35011953,27.42312818,29.77750715,32.73481225,32.55264531,37.53153893,38.30345289,40.48758373,44.27351615,45.5769514,47.72820649,49.53356405,48.64649495,48.83003021,46.06925945,42.68633402,44.22926172,47.09686967,47.93622753,47.34914514,46.86436287,41.34019271,38.5164431,34.98807939,34.53361626
Austria,AUT,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,6.402119582,-1.705347527,-1.615515446,-0.760242563,4.051053212,10.41775979,9.699590476,10.61123177,7.579845775,8.335702323,15.94673754,18.93572539,26.97610272,29.31449838,30.62201812,27.14244639,22.545578,22.21857623,10.55405113,19.87758145,17.27667469,12.13106712,13.08234499,7.098358818,9.437729149,10.10927675,13.88417347,9.141591928,11.3287513,1.690240142,7.498460834,-0.545165393,-4.457815472
Azerbaijan,AZE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-2.298825999,-19.99668593,-29.82558357,-38.50791903,-39.63416916,-49.39482541,-51.14380046,-51.22095064,-51.19297702,-48.69530667,-50.61497426,-51.02602616,-46.94757886,-47.43649364,-44.37489644,-43.09185148,-48.47009228,-42.57282496,-50.14245167,-52.54141254,-47.49386629,-42.48373699,-40.8254535,-38.13000786,-38.48938873,-38.68092787,-39.01090971,-38.06265735,-34.1082205,-36.91858963,-33.30054896,-29.75092785,-23.80092046
Burundi,BDI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,41.16766467,11.17764471,23.70259481,28.14371257,26.14770459,35.57884232,35.57884232,43.11377246,47.35528942,47.05588822,16.96606786,10.47904192,-8.483033932,9.031936128,-8.233532934,15.91816367,85.57884232,10.47904192,11.17764471,60.27944112,109.0319361,101.6467066,127.994012,102.8443114,115.4690619,140.5189621,167.5648703,259.7305389,296.3073852,340.1696607,342.8143713,318.9620758,321.3073852
Belgium,BEL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,3.387140506,1.570436047,-0.096624948,5.442255584,5.70588022,10.01695902,7.434594667,10.0127279,6.241419031,7.910466062,8.743219415,2.318307967,6.530603081,5.329915049,2.880701433,0.330459051,-2.405002737,-1.232119204,-7.257492103,-0.718081386,-9.702301902,-10.98562628,-9.831825961,-15.61550697,-11.59628905,-12.56176139,-13.9093297,-13.56591825,-13.7520875,-20.328024,-16.88786498,-22.5106771,-27.20221123
Benin,BEN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-12.1380005,-4.482498111,-3.273734576,-1.712415009,-0.100730295,170.5363888,243.4399396,230.9997482,262.7046084,289.0455805,367.4892974,439.4107278,504.1803072,544.0946865,605.3387056,871.5688743,1007.227399,998.9926971,1079.048099,1179.073281,1148.753463,1089.398136,1151.347268,1274.515235,1362.780156,1699.420801,1723.596072,1976.605389,1921.631831,2059.330144,1526.240242,1566.83455,1521.22891
Burkina Faso,BFA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,40.72939013,20.44131168,26.32546736,37.63407907,41.37296966,56.69629176,150.4137297,136.34692,144.4069874,169.3227092,210.6343855,229.7578915,266.411278,227.0609868,248.7281643,255.1026663,399.3564205,484.2476249,465.5531719,503.5856574,584.7686178,700.7661661,842.7520686,745.6328532,1096.628869,1094.422311,1266.411278,1423.230156,1591.173766,1591.541526,1718.020227,1782.899173,1738.584125
Bangladesh,BGD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-4.725849271,6.541556049,14.8026494,21.90022756,47.48469415,49.56520561,62.23993607,65.77653465,76.95589749,82.680013,120.9818768,132.568944,143.6934496,156.695969,173.4375847,194.4831229,212.9368261,247.5436149,273.2669177,311.464485,342.1865688,373.1097957,388.0458634,419.0232703,478.5785881,536.4550035,584.1909574,614.3969768,631.9384244,593.8932383,690.2238988,740.3173593,745.1630818
Bulgaria,BGR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-18.90441487,-22.52305371,-21.50834081,-25.02079893,-23.34189441,-22.97488389,-25.88785817,-28.97784196,-37.39260133,-39.82076695,-37.01334879,-40.54566895,-33.21832504,-35.71582043,-34.43265769,-32.50241717,-28.00085444,-31.84347213,-41.87017971,-38.15572839,-31.56640292,-37.64681046,-44.47260662,-40.89506597,-37.72288582,-41.13540915,-38.44079238,-42.24630928,-44.31995623,-50.66856376,-42.80544445,-37.45568517,-50.29168468
Bahrain,BHR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-3.565087648,13.49015162,22.76254699,25.02896582,27.05949037,31.65234352,35.53167902,43.65794497,44.41980845,48.13410131,53.3937934,60.26556861,65.84367628,66.04789571,94.80199051,112.1298002,115.4881678,130.6337471,130.5228851,140.3562587,141.7582876,151.8675658,167.825855,177.5900441,179.0345839,178.9203878,181.3718544,181.939501,207.1401779,207.1168385,210.7102668,202.4873092,211.9605898
"Bahamas, The",BHS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-9.648315227,-22.07696557,-19.90425336,-11.21340453,2.669858221,14.59215614,15.54962254,32.76560486,19.30583686,-8.230528448,-8.672436015,0.009206408,-25.51095563,-19.57282268,-20.81568772,0.810163874,20.9077518,25.32682747,4.244153931,18.10900387,-21.36807218,-6.380040508,0.441907568,4.60320383,3.130178604,14.64739459,26.45921561,42.01804456,63.12833732,32.3329037,46.3910882,47.00791751,55.00828577
Bosnia and Herzegovina,BIH,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-10.50742479,-33.96152704,-44.57597942,-86.57393654,-85.70062385,-82.1003455,-64.50468195,-55.03212863,-55.67795679,-41.88686002,-42.63727409,-39.66084865,-38.19379728,-34.75874025,-31.45390691,-23.94854536,-19.73825036,-11.89593499,-11.86419296,-9.595451937,2.818122256,-5.146684789,-5.543867074,-15.38715099,-15.2520439,-4.360052252,-2.384721504,-2.089683434,-8.055963635,-8.310713748,-6.544961767,-7.570880353,-10.48463564
Belarus,BLR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-3.68714205,-12.97440767,-24.86572742,-35.95122219,-42.74226867,-41.85978418,-41.43488775,-42.85550489,-44.88911378,-46.69094376,-47.89636469,-47.70400525,-47.096699,-43.91651411,-43.12878796,-40.81365202,-42.14538584,-38.63335721,-41.60677939,-37.34796023,-40.33673326,-39.10231627,-38.94966058,-39.38422236,-43.93451819,-44.03401446,-42.93557569,-39.7724473,-41.84253816,-44.88323876,-44.43588461,-46.15205303,-48.66400206
Belize,BLZ,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,14.64968153,-4.378980892,-6.767515924,-9.474522293,2.308917197,-15.0477707,46.81528662,49.20382166,55.89171975,10.11146497,11.94267516,11.86305732,17.99363057,8.280254777,19.26751592,38.21656051,33.43949045,28.82165605,55.97133758,85.11146497,18.71019108,29.14012739,62.81847134,62.02229299,95.85987261,106.5286624,125.6369427,96.33757962,113.7738854,74.36305732,95.54140127,108.3598726,121.7356688
Bermuda,BMU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-9.742574257,-28.67326733,-20.3960396,-21.14851485,-20.71287129,-19.16831683,-16.99009901,-15.00990099,-13.9009901,-40.47524752,-41.14851485,-34.45544554,-32.27722772,-31.52475248,-26.37623762,-8.277227723,9.742574257,10.41584158,-3.128712871,22.33663366,-39.28712871,-29.66336634,-21.66336634,7.643564356,-8.712871287,23.36633663,12.95049505,23.56435644,41.94059406,24.95049505,31.12871287,31.64356436,38.81188119
Bolivia,BOL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,4.799744743,12.88288562,35.03555366,45.74267655,31.75823508,27.37024432,54.44116932,54.54448766,34.82283943,24.60040112,20.51324906,28.58575422,36.95453993,43.50765771,50.86453142,63.68360277,82.12440744,94.99361857,107.3675094,124.5426644,144.3114136,158.6832989,174.7493011,195.4433572,202.886836,224.2767716,230.6110976,233.3475143,233.938556,181.7627932,231.3890239,245.4691868,261.7190349
Brazil,BRA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,3.691230947,5.203740064,9.892835657,14.04348717,23.38822669,32.48611139,40.702441,44.80126226,48.04104992,53.99103989,54.83530892,54.87814821,52.69629718,60.97269877,62.71130415,64.67530064,73.22923209,81.89083473,69.88569577,93.82109306,104.2805357,119.3632283,130.5952767,140.7064958,128.1190597,112.6227388,117.9420832,107.483478,106.3188839,97.19451111,123.0073889,111.0735606,111.3335493
Barbados,BRB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-4.62962963,-7.30994152,-11.79337232,-14.11630929,-12.06952567,-14.0188434,2.128005198,12.36192333,17.65756985,-4.402209227,-8.122157245,-1.44574399,3.671215075,2.631578947,5.019493177,13.53151397,9.113060429,28.65497076,29.72709552,33.25211176,10.34762833,4.532163743,18.71345029,8.495776478,17.00779727,25.66601689,10.85120208,20.0617284,35.51007147,9.096816114,23.00194932,23.42430149,29.33723197
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,14.1744186,24.68139535,25.83255814,27.7627907,35.2,42.03255814,51.18604651,33.55813953,39.7255814,41.26976744,36.31627907,29.25348837,50.06046512,45.78604651,39.74186047,100.355814,90.33023256,107.1534884,86.53023256,71.61162791,82.81627907,77.2627907,81.13953488,88.5255814,71.28139535,83.70232558,83.05581395,86.74651163,76.82093023,130.3186047,126.655814,119.7325581,125.955814
Bhutan,BTN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,3.973509934,2.98013245,10.20971302,42.77041943,77.7593819,98.3995585,109.7130243,119.5364238,122.2406181,124.7240618,139.9006623,159.9337748,164.9558499,165.4525386,186.1479029,200.4966887,208.3333333,210.7615894,334.9337748,394.3708609,507.1192053,478.4768212,506.8432671,519.3708609,620.0331126,683.2781457,752.3178808,890.5629139,983.9403974,858.5540839,932.1743929,963.3002208,996.4128035
